References,Value,Footprint,Quantity
"C1, C2, C3, C5, C7, C8, C9, C11, C13",100n,C_0201_0603Metric,9
"C10, C12, C14, C15",2u2,C_0402_1005Metric,4
"C4, C6",47u,C_0805_2012Metric,2
"C16, C17",15p,C_0201_0603Metric,2
C18,1n,C_0201_0603Metric,1
"R3, R4, R15",100K,R_0402_1005Metric,3
"R1, R13",1K,R_0402_1005Metric,2
"R2, R12",R,R_0402_1005Metric,2
"R7, R10",27R,R_0201_0603Metric,2
R5,5K6,R_0402_1005Metric,1
R6,10K,R_0402_1005Metric,1
R8,200R,R_0603_1608Metric,1
R9,1R,R_0402_1005Metric,1
R11,470R,R_0402_1005Metric,1
R14,200K,R_0402_1005Metric,1
L1,2u2,L_0402_1005Metric,1
D1,MBR120VLSFT1G,MBR120VLSFT1G,1
D2,LED,LED_0402_1005Metric,1
U1,RT6150B-33GQW,RT6150B-33GQW,1
U2,SC09147,QFN56_7X7_RPI,1
U3,W25Q16JVUXIQ TR,W25Q16JVUXIQ_TR,1
X1,12MHz,Oscillator_SMD_SeikoEpson_SG210-4Pin_2.5x2.0mm,1
SW1,434133025816,434133025816,1
40_part1,Conn_01x20,part_1_40_pin,1
40_part2,Conn_01x20,part_2_40_pin,1
Q1,DMG1012T,SOT-523,1
J1,USB_B_Micro,USB_Micro-B_Molex_47346-0001,1
J2,CON_PICO_3W,3_pin_connector,1
